geoid,happiness_index,pct_very_happy,adult_pop
01001,55.88889572423956,26.564356729472756,16984.0
01002,54.68430308035376,25.070987740101405,27558.0
01003,50.94720010389012,19.543376535140396,13253.0
01005,58.43921867943775,29.32652128590926,4900.0
01007,59.36456085622177,30.39774099934556,15423.0
01008,58.59155517227561,29.45994098932749,1317.0
01009,52.87796194741294,23.53131905049524,980.0
01010,58.74511442540771,30.041341762365224,3711.0
01011,57.52196264066894,28.395813925710442,1201.0
01012,57.424341295785176,27.743355131893615,519.0
01013,51.839189996540455,22.51346638572912,23656.0
01020,53.34910044927215,24.03675564679485,29781.0
01022,51.6412312901043,21.39451633326943,2158.0
01026,58.03339079832658,28.943869707564797,1011.0
01027,56.04914687171713,26.64781471534575,17896.0
01028,59.16858539005659,30.1307283465281,16417.0
01029,58.50175114274551,29.563640332986093,714.0
01030,57.606863248506485,28.545815326684487,11708.0
01031,54.90572962843748,25.620392511275394,1406.0
01032,58.742993207073795,29.614126654843695,483.0
01033,59.509759259550854,30.764562864411904,6092.0
01034,59.41229460988076,30.77116256513284,1977.0
01035,60.05942068666872,30.956441501388813,5325.0
01036,60.84286095978162,32.40182550617161,4966.0
01037,59.90770762596501,31.51422657177263,706.0
01038,59.02676150841185,29.953117605404987,2522.0
01039,59.89970359809213,30.74555576642693,1511.0
01040,49.73286336957086,20.78120340829606,38238.0
01050,57.89756279719924,28.740516828017334,2467.0
01053,56.885329203221,27.39748507203461,2031.0
01054,59.764501170048575,30.69713603653068,1889.0
01056,55.9139594156403,26.860954439716306,21002.0
01057,56.65547653453716,27.75321649287271,8152.0
01060,55.43274574280999,25.76267157702646,14461.0
01062,57.82981986254938,28.631550220601437,10910.0
01063,50.64307774498026,19.461862232776387,2106.0
01066,52.36464326989314,23.83281707612434,215.0
01068,59.702518589588486,30.93170532322179,1904.0
01069,54.66438499530042,25.227996783235984,8428.0
01070,57.935964254125885,28.82045094757478,577.0
01071,59.449336111804456,30.42107734307376,1486.0
01072,59.526637821405416,30.33534562189399,1366.0
01073,61.358456585902985,32.81127174424463,6224.0
01074,50.09536845905251,19.77978854649513,584.0
